sentence_id	article_id	topic_id	topic	title	publication	url	sentence
0	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	 Robert Bowers, who opened fire at the Tree of Life Synagogue, in Pittsburgh, this morning, killing at least eleven people, was not evasive about his intent.
1	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	It has been marked, too, by mass murders in houses of worship-in recent years, the massacre of twenty-six people at a Baptist church in Sutherland Springs, Texas, last November, and the murder of nine African-American worshippers at Emanuel AME Church, in Charleston, South Carolina, by the white supremacist Dylann Roof.
2	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	On Wednesday afternoon, a man named Gregory Bush allegedly shot and killed two African-American customers at a Kroger's supermarket in Jeffersontown, Kentucky, reportedly saying afterward, "Whites don't kill whites."
3	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	But the massacres in Pittsburgh and Jeffersontown-and the pipe bombs sent to a dozen Democratic leaders this week, allegedly by the Trump supporter Cesar Sayoc-share some obvious common causes.
4	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	They are the toxic politics of the President, and the racist, nationalist fervor that has been inflamed by his rise, and the success and the militancy of the gun lobby, which for decades has refused to acknowledge the obvious: that one way to have fewer killings is to make it harder for Americans to possess guns.
5	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	 Armed with an AR-15-style assault rifle and at least three handguns, a man shouting anti-Semitic slurs opened fire inside a Pittsburgh synagogue Saturday morning, killing at least 11 congregants and wounding four police officers and two others, the authorities said.
6	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Pittsburgh residents embraced near Tree of Life Congregation after the shooting.Calling it the "most horrific crime scene" he had seen in 22 years with the FBI, Robert Jones, special agent in charge in Pittsburgh, said the synagogue was in the midst of a "peaceful service" when congregants were gunned down and "brutally murdered by a gunman targeting them simply because of their faith."
7	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Police dispatchers received the first emergency calls at 9:54 am, Mr Jones of the FBI said, and police officers, including a SWAT team, were dispatched a minute later.
8	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Mr Bowers had already shot and killed 11 people and was on his way out of the synagogue, Mr Jones said, when he encountered police officers and shot at them.
9	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Ben Opie, 55, who can see the synagogue from his backyard, said his wife was about to leave their house to do some volunteer work when SWAT officers approached their home and said there was a gunman in the synagogue.
10	21	3	Synagogue shooting	Pittsburgh shooting: Multiple casualties at Squirrel Hill synagogue	BBC	https://www.bbc.com/news/world-us-canada-46002549?intlink_from_url=https://www.bbc.com/news/topics/c28q43x9qmzt/pittsburgh-synagogue-shooting&link_location=live-reporting-story	 Eleven people have been killed, officials say, in a gun attack on a synagogue in the US city of Pittsburgh, Pennsylvania.
11	21	3	Synagogue shooting	Pittsburgh shooting: Multiple casualties at Squirrel Hill synagogue	BBC	https://www.bbc.com/news/world-us-canada-46002549?intlink_from_url=https://www.bbc.com/news/topics/c28q43x9qmzt/pittsburgh-synagogue-shooting&link_location=live-reporting-story	Hundreds of people - from the neighbourhood and also all across Pittsburgh - later gathered for an interfaith vigil for the victims of the attack in Squirrel Hill.
12	21	3	Synagogue shooting	Pittsburgh shooting: Multiple casualties at Squirrel Hill synagogue	BBC	https://www.bbc.com/news/world-us-canada-46002549?intlink_from_url=https://www.bbc.com/news/topics/c28q43x9qmzt/pittsburgh-synagogue-shooting&link_location=live-reporting-story	On Saturday morning, worshippers had gathered at the synagogue, in the Squirrel Hill neighbourhood, for a baby naming ceremony during the Sabbath.
13	21	3	Synagogue shooting	Pittsburgh shooting: Multiple casualties at Squirrel Hill synagogue	BBC	https://www.bbc.com/news/world-us-canada-46002549?intlink_from_url=https://www.bbc.com/news/topics/c28q43x9qmzt/pittsburgh-synagogue-shooting&link_location=live-reporting-story	Pittsburgh FBI's special agent in charge of the investigation, Bob Jones, told a press conference that Mr Bowers did not appear to be known to authorities prior to events on Saturday.
14	22	3	Synagogue shooting	Pittsburgh synagogue shooting suspect who allegedly stated aim to 'kill Jews' charged with federal hate crimes	ABC News	https://abcnews.go.com/US/pittsburgh-synagogue-shooting-victims-joyce-fienberg-melvin-wax/story?id=58872459	 The man accused of killing 11 Jews in an anti-Semitic attack at a Pittsburgh synagogue was charged in a 44-count indictment that includes federal hate crimes.
15	22	3	Synagogue shooting	Pittsburgh synagogue shooting suspect who allegedly stated aim to 'kill Jews' charged with federal hate crimes	ABC News	https://abcnews.go.com/US/pittsburgh-synagogue-shooting-victims-joyce-fienberg-melvin-wax/story?id=58872459	Suspect Robert Bowers, 46, "made statements indicating his desire to 'kill Jews'" in the shooting attack on Saturday, the Department of Justice said in its indictment Wednesday.
16	22	3	Synagogue shooting	Pittsburgh synagogue shooting suspect who allegedly stated aim to 'kill Jews' charged with federal hate crimes	ABC News	https://abcnews.go.com/US/pittsburgh-synagogue-shooting-victims-joyce-fienberg-melvin-wax/story?id=58872459	Grieving family, friends and neighbors of the 11 people gunned down at the Tree of Life synagogue meanwhile continued Wednesday with a series of funerals.
17	22	3	Synagogue shooting	Pittsburgh synagogue shooting suspect who allegedly stated aim to 'kill Jews' charged with federal hate crimes	ABC News	https://abcnews.go.com/US/pittsburgh-synagogue-shooting-victims-joyce-fienberg-melvin-wax/story?id=58872459	Friends and family gathered at separate funerals to remember Joyce Fienberg, 75, Irving Younger, 69, and Melvin Wax, 88, who were among the 11 worshippers gunned down.
18	22	3	Synagogue shooting	Pittsburgh synagogue shooting suspect who allegedly stated aim to 'kill Jews' charged with federal hate crimes	ABC News	https://abcnews.go.com/US/pittsburgh-synagogue-shooting-victims-joyce-fienberg-melvin-wax/story?id=58872459	President Donald Trump and the first lady, joined by the president's son-in-law Jared Kushner and daughter Ivanka Trump, visited the synagogue Tuesday afternoon.
19	23	3	Synagogue shooting	Pittsburgh Shooter Kills 11 in Worst Synagogue Attack in U.S.	Bloomberg	https://www.bloomberg.com/news/articles/2018-10-27/pittsburgh-police-report-active-shooter-near-synagogue	 A gunman who's believed to have spewed anti-Semitic slurs and rhetoric on social media barged into a Pittsburgh synagogue on Saturday and opened fire, killing 11 people in one of the deadliest attacks on Jews in US history.
20	23	3	Synagogue shooting	Pittsburgh Shooter Kills 11 in Worst Synagogue Attack in U.S.	Bloomberg	https://www.bloomberg.com/news/articles/2018-10-27/pittsburgh-police-report-active-shooter-near-synagogue	The 20-minute attack at Tree of Life Congregation in the Squirrel Hill neighborhood left six others wounded, including four police officers who dashed to the scene, authorities said.
21	23	3	Synagogue shooting	Pittsburgh Shooter Kills 11 in Worst Synagogue Attack in U.S.	Bloomberg	https://www.bloomberg.com/news/articles/2018-10-27/pittsburgh-police-report-active-shooter-near-synagogue	"Our hearts break for the families of those killed and injured at the Tree of Life Synagogue, and for the entire Jewish community of Pittsburgh," Greenblatt said.
22	23	3	Synagogue shooting	Pittsburgh Shooter Kills 11 in Worst Synagogue Attack in U.S.	Bloomberg	https://www.bloomberg.com/news/articles/2018-10-27/pittsburgh-police-report-active-shooter-near-synagogue	The synagogue is located in the tree-lined residential neighborhood of Squirrel Hill, about 10 minutes from downtown Pittsburgh and the hub of Pittsburgh's Jewish community.
